keyword,volume,traffic_potential,keyword_difficulty,opportunity_score,parent_topic,gap_type,your_page,page_chars,products_shown,blog_links_in,has_faq,competitors,top_competitor_url
best desktop vaporizers,250,,,,,Content gap (no page),,,,,,1,https://dankgeek.com/collections/desktop-vaporizers
custom puffco glass,250,,,,,Content gap (no page),,,,,,1,https://inhalco.com/collections/puffco-peak-glass
triple percolator bong,250,,,,,Content gap (no page),,,,,,1,https://inhalco.com/collections/percolator-bong
blunt holder,250,,,,,Content gap (no page),,,,,,1,https://inhalco.com/collections/joint-holder
dab hitter,250,,,,,Content gap (no page),,,,,,1,https://inhalco.com/products/silicone-glass-dab-straw
bluntlife spray,250,,,,,Content gap (no page),,,,,,1,https://inhalco.com/blogs/guides/what-is-bluntlife-spray-a-comprehensive-guide
puffco peak glass top,250,,,,,Content gap (no page),,,,,,1,https://inhalco.com/products/puffco-peak-glass-top-sol-perc
pipes for smoking herbs,250,,,,,Content gap (no page),,,,,,1,https://smokea.com/collections/pipes
onie weed,250,,,,,Content gap (no page),,,,,,1,https://smokea.com/collections/one-hitters
tabletop vaporizer,250,,,,,Content gap (no page),,,,,,1,https://smokea.com/collections/desktop-vaporizer
zig zag blunt cones,250,,,,,Content gap (no page),,,,,,1,https://smokea.com/products/zig-zag-pre-rolled-cone-blunt-wraps
ceramic dab nail,250,,,,,Content gap (no page),,,,,,1,https://smokea.com/collections/ceramic-nails
different types of dab bangers,200,,,,,Content gap (no page),,,,,,1,https://www.smokecartel.com/blogs/guides/guide-to-dab-banger-types
weed chillum,200,,,,,Content gap (no page),,,,,,1,https://www.smokecartel.com/collections/chillum
color changing glass pipes,200,,,,,Content gap (no page),,,,,,1,https://www.smokecartel.com/blogs/guides/fumed-glass-how-color-changing-pipes-work
bong mystery box,200,,,,,Content gap (no page),,,,,,1,https://www.smokecartel.com/blogs/insights/smoke-cartel-mystery-box-review
difference between bubbler and bong,200,,,,,Content gap (no page),,,,,,1,https://www.smokecartel.com/blogs/guides/bong-vs-bubblers
glass pipe smoking,200,,,,,Content gap (no page),,,,,,1,https://dankgeek.com/collections/glass-pipes
bubble base,200,,,,,Content gap (no page),,,,,,1,https://dankgeek.com/collections/bubble-base-bongs
zig zag bong,200,,,,,Content gap (no page),,,,,,2,https://dankgeek.com/collections/zong-bongs
dab rig pieces,200,,,,,Content gap (no page),,,,,,1,https://dankgeek.com/collections/dab-rig-parts-accessories
hemper glass,200,,,,,Content gap (no page),,,,,,1,https://dankgeek.com/collections/hemper
10mm bowl,200,,,,,Content gap (no page),,,,,,1,https://dankgeek.com/collections/bong-bowls
mj arsenal glass,200,,,,,Content gap (no page),,,,,,1,https://dankgeek.com/collections/mj-arsenal
one hitter dab pipe,200,,,,,Content gap (no page),,,,,,1,https://inhalco.com/collections/one-hitters
gary the snail bong,200,,,,,Content gap (no page),,,,,,1,https://inhalco.com/products/hemper-gary-the-snail-xl-bong
louis vuitton bong,200,,,,,Content gap (no page),,,,,,1,https://inhalco.com/products/lv-pattern-beaker-bong
best torch for dabs,200,,,,,Content gap (no page),,,,,,1,https://inhalco.com/blogs/guides/how-big-of-a-torch-do-you-need-for-dabs
dabbing tools,200,,,,,Content gap (no page),,,,,,1,https://inhalco.com/collections/dab-tools
slides for bongs,200,,,,,Content gap (no page),,,,,,1,https://smokea.com/collections/bong-slides-bowls
top shelf hemp co,200,,,,,Content gap (no page),,,,,,1,https://smokea.com/collections/top-shelf-hemp
eyce pipes,200,,,,,Content gap (no page),,,,,,1,https://smokea.com/collections/eyce
small beaker bong,200,,,,,Content gap (no page),,,,,,1,https://smokea.com/collections/beaker-bongs
cookie disposable,200,,,,,Content gap (no page),,,,,,1,https://smokea.com/products/cookies-1g-delta-8-disposable-vape-pancakes
ispire dab rig,150,,,,,Content gap (no page),,,,,,1,https://www.smokecartel.com/blogs/insights/ispire-daab-e-rig-review
dabbing torch,150,,,,,Content gap (no page),,,,,,1,https://www.smokecartel.com/collections/dab-torches
pod battery vape,150,,,,,Content gap (no page),,,,,,1,https://www.smokecartel.com/collections/510-thread-batteries
ice bong mold,150,,,,,Content gap (no page),,,,,,1,https://www.smokecartel.com/blogs/guides/eyce-mold-review-the-silicone-ice-pipe
sherlock holmes weed pipe,150,,,,,Content gap (no page),,,,,,1,https://dankgeek.com/collections/wood-sherlock-pipes
chillum one hitter,150,,,,,Content gap (no page),,,,,,1,https://dankgeek.com/collections/chillums-one-hitters
dab pad,150,,,,,Content gap (no page),,,,,,1,https://dankgeek.com/collections/dab-mats-pads
9mm bong,150,,,,,Content gap (no page),,,,,,1,https://dankgeek.com/collections/9mm-thick-glass-bongs
bong cleaning tools,150,,,,,Content gap (no page),,,,,,1,https://dankgeek.com/collections/cleaning-tools-for-bongs-rigs-pipes-vapes
one hitters glass,150,,,,,Content gap (no page),,,,,,1,https://dankgeek.com/collections/glass-chillums-one-hitters
bong adapter,150,,,,,Content gap (no page),,,,,,1,https://dankgeek.com/collections/bong-dab-rig-adapters
electronic nectar collector,150,,,,,Content gap (no page),,,,,,1,https://inhalco.com/collections/electric-nectar-collectors
dab storage,150,,,,,Content gap (no page),,,,,,1,https://inhalco.com/collections/dab-containers
honey straw dab,150,,,,,Content gap (no page),,,,,,1,https://inhalco.com/collections/honey-straw
girly dab rigs,150,,,,,Content gap (no page),,,,,,1,https://inhalco.com/collections/girly-bongs
dab types,150,,,,,Content gap (no page),,,,,,1,https://inhalco.com/blogs/guides/the-science-behind-dabbing-temperature-tools-and-techniques
do edibles smell like weed,150,,,,,Content gap (no page),,,,,,1,https://inhalco.com/blogs/guides/do-edibles-smell
alien bongs,150,,,,,Content gap (no page),,,,,,1,https://inhalco.com/collections/alien-bongs-and-accessories
10mm reclaim catcher,150,,,,,Content gap (no page),,,,,,1,https://inhalco.com/products/10mm-reclaim-catcher
what does 420 mean in dating,150,,,,,Content gap (no page),,,,,,1,https://inhalco.com/blogs/guides/what-does-420-friendly-mean
spoon bowl for smoking,150,,,,,Content gap (no page),,,,,,1,https://smokea.com/collections/spoons
cheap bubbler water pipe,150,,,,,Content gap (no page),,,,,,1,https://smokea.com/collections/glass-bubblers
rio dab rig,150,,,,,Content gap (no page),,,,,,1,https://smokea.com/products/stache-products-rio-rig-in-one-makeover-kit
14 mm banger,150,,,,,Content gap (no page),,,,,,1,https://smokea.com/collections/14mm-bangers
weed pipe glass,150,,,,,Content gap (no page),,,,,,1,https://smokea.com/products/cheap-glass-hand-pipe-5
banger for wax,100,,,,,Content gap (no page),,,,,,1,https://www.smokecartel.com/710
vape pen battery light colors meaning,100,,,,,Content gap (no page),,,,,,1,https://www.smokecartel.com/blogs/guides/guide-to-vape-pen-battery-light-colors
thick glass beaker bong,100,,,,,Content gap (no page),,,,,,1,https://dankgeek.com/collections/thick-glass-bongs
cool grinders weed,100,,,,,Content gap (no page),,,,,,1,https://dankgeek.com/Rolling
goth bong,100,,,,,Content gap (no page),,,,,,1,https://dankgeek.com/collections/spooky-halloween-pipes-bongs-rigs-headshop
14mm bubbler,100,,,,,Content gap (no page),,,,,,1,https://dankgeek.com/collections/glass-bubblers
banger cap,100,,,,,Content gap (no page),,,,,,1,https://dankgeek.com/blogs/guides/the-top-10-carb-caps-for-your-quartz-banger-setup
glass nectar collector with metal tip,100,,,,,Content gap (no page),,,,,,1,https://dankgeek.com/collections/titanium-dab-straws
coffee cup pipe,100,,,,,Content gap (no page),,,,,,1,https://inhalco.com/collections/wake-and-bake-mug
dab one hitter,100,,,,,Content gap (no page),,,,,,2,https://smokea.com/products/smokea-silicone-dab-straw
purple glass bong,100,,,,,Content gap (no page),,,,,,1,https://inhalco.com/collections/purple-bongs
human sucks,100,,,,,Content gap (no page),,,,,,1,https://inhalco.com/collections/human-sucks
beaver bongs,100,,,,,Content gap (no page),,,,,,1,https://inhalco.com/products/cute-vinyl-beaver-water-pipe
custom oil burner pipe,100,,,,,Content gap (no page),,,,,,1,https://inhalco.com/collections/oil-burner-pipe
best dab tool,100,,,,,Content gap (no page),,,,,,1,https://smokea.com/collections/dab-tools
extract vape,100,,,,,Content gap (no page),,,,,,1,https://smokea.com/collections/extract-vaporizers
thca pods,100,,,,,Content gap (no page),,,,,,1,https://smokea.com/collections/thca-pod-vapes
18 mm banger,100,,,,,Content gap (no page),,,,,,1,https://smokea.com/collections/18mm-bangers
portable water bong,90,,,,,Content gap (no page),,,,,,1,https://dankgeek.com/collections/portable-bongs-for-on-the-go
dugout with grinder,90,,,,,Content gap (no page),,,,,,1,https://inhalco.com/products
nectar collector tip,90,,,,,Content gap (no page),,,,,,1,https://inhalco.com/collections/nectar-collector-tips
fab egg,90,,,,,Content gap (no page),,,,,,1,https://inhalco.com/collections/fab-egg-bong
metal banger,90,,,,,Content gap (no page),,,,,,1,https://smokea.com/collections/bangers
how to use pipe screens,80,,,,,Content gap (no page),,,,,,1,https://www.smokecartel.com/blogs/guides/how-to-use-pipe-screens
420 sales,80,,,,,Content gap (no page),,,,,,1,https://smokea.com/collections/420-sale
snoop dogg pounds,80,,,,,Content gap (no page),,,,,,1,https://smokea.com/collections/pounds-by-snoop-dogg
banger hanger dab rig,70,,,,,Content gap (no page),,,,,,1,https://dankgeek.com/collections/banger-hangers
one hitter with grinder,70,,,,,Content gap (no page),,,,,,1,https://inhalco.com/products/one-hitter-dugout-with-mini-grinder
nectar collector wax,70,,,,,Content gap (no page),,,,,,1,https://inhalco.com/products/mini-nectar-collector
silicone bong bowl,70,,,,,Content gap (no page),,,,,,1,https://inhalco.com/collections/bong-bowls
rubber weed pipe,70,,,,,Content gap (no page),,,,,,1,https://inhalco.com/products/silicone-pipe-weed-with-glass-bowl
dry pipe weed,70,,,,,Content gap (no page),,,,,,1,https://smokea.com/collections/dry-pipes
snoop dogg cart,70,,,,,Content gap (no page),,,,,,1,https://smokea.com/collections/dogg-lbs
bongs with designs,60,,,,,Content gap (no page),,,,,,1,https://www.smokecartel.com/collections/themed-pipes-and-bongs
beaker bongs with designs,60,,,,,Content gap (no page),,,,,,1,https://inhalco.com/collections/beaker-bong
dab cleaning station,60,,,,,Content gap (no page),,,,,,1,https://inhalco.com/collections/dab-station
glass dab straws,60,,,,,Content gap (no page),,,,,,1,https://inhalco.com/collections/nectar-collectors?page=2
ball bong,60,,,,,Content gap (no page),,,,,,1,https://smokea.com/collections/bubble-bongs
delta 11 edibles,60,,,,,Content gap (no page),,,,,,1,https://smokea.com/collections/delta-11
silicone nectar collector kit with case,50,,,,,Content gap (no page),,,,,,1,https://inhalco.com/collections/nectar-collector-kits
how to clean silicone nectar collector,50,,,,,Content gap (no page),,,,,,1,https://inhalco.com/blogs/guides/how-to-clean-a-silicone-nectar-collector
nectar collector with percolator,50,,,,,Content gap (no page),,,,,,1,https://inhalco.com/products/glass-nectar-collector-with-tree-perc
baby yoda pipe,50,,,,,Content gap (no page),,,,,,1,https://inhalco.com/products/baby-yoda-silicone-pipe-weed
